"COD_ACC","COD_ENTE","DES_ACC","FLG_BONUS_MALUS_ANNUALE","FLG_RATEIZZAZIONE","DAT_INI","DAT_FIN","FLG_SOSP","COD_SPESE","FLG_ACC_BR"
"0205","0050","COBO SPA 2025","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0206","0057","AUBAY 2025","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0207","0048","TOWER WATSON 2025","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0209","0021","PENSIONATI BDS 2025","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0211","0061","MTX SRL 2025","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0212","0060","STEDAN SRL 2025","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0042","0001","A&C SERVICE SRL","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","S","Z","N"
"0058","0054","DKV EURO SERVICE ITALIA","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","D","Z","N"
"0069","0065","AON ACCURACY","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","D","Z","N"
"0018","0014","Q8 QUASER","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","D","Z","N"
"0089","0032","FONDO TUTELA SATOR SPA","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","D","Z","N"
"0090","0033","FONDO TUTELA TINABA SRL","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","D","Z","N"
"0178","0011","TECHNIP 2025","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0147","0024","ADECCO ITALIA SPA 2024","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","D","Z","N"
"0148","0023","ADECCO ITALIA HOLDING","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","D","Z","N"
"0150","0026","PROFESSIONAL VALUES 2024","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","D","Z","N"
"0152","0028","PROFESSIONAL SOLUTIONS","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","D","Z","N"
"0177","0054","DKV EURO SERVICE ITALIA","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0020","0017","DIOR 2023","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","D","Z","N"
"0127","0048","TOWER WATSON 2024","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","D","Z","N"
"0128","0041","DANFOSS DISTRIB. SERVICES","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","D","Z","N"
"0129","0036","DANFOSS SRL 2024","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","D","Z","N"
