"IDFATTURA","ANNO_PRA","NUM_PRA","PRG_VOCE"
"365","2024","00001341","1"
"2245","2024","00005117","1"
"505","2024","00001721","1"
"1058","2024","00003029","2"
"833","2024","00002482","3"
"764","2024","00002337","1"
"2189","2024","00005769","1"
"2252","2024","00005005","1"
"2255","2024","00003725","1"
"2255","2024","00003725","2"
"663","2024","00002105","1"
"663","2024","00002105","2"
"688","2024","00002149","1"
"362","2024","00000067","4"
"362","2024","00000067","3"
"362","2024","00000067","5"
"362","2024","00000067","6"
"362","2024","00000067","7"
"362","2024","00000067","8"
"362","2024","00000067","9"
"362","2024","00000067","10"
"362","2024","00000067","11"
"362","2024","00000067","12"
"362","2024","00000067","13"
"362","2024","00000067","1"
"362","2024","00000067","2"
"904","2024","00002670","1"
"956","2024","00002815","1"
"1947","2024","00005167","1"
"1952","2024","00005177","1"
"1951","2024","00005175","1"
"945","2024","00001696","1"
"1030","2024","00002541","1"
"973","2024","00002858","1"
"2388","2024","00006174","1"
"2362","2024","00006114","1"
"2439","2024","00006276","1"
"2219","2024","00005806","1"
"2464","2024","00006290","1"
"2310","2024","00005982","1"
"2580","2024","00006579","1"
"1056","2024","00002699","1"
"2432","2024","00006257","1"
"2464","2024","00006290","2"
"925","2024","00002720","1"
"925","2024","00002720","3"
"925","2024","00002720","2"
"220","2024","00000890","1"
"850","2024","00002528","1"
"687","2024","00002145","1"
"66","2024","00000138","1"
"66","2024","00000138","2"
"66","2024","00000138","3"
"94","2024","00000294","1"
"687","2024","00002145","2"
"953","2024","00002795","1"
"2516","2024","00004639","1"
"906","2024","00002675","1"
"971","2024","00002852","1"
"881","2024","00002598","1"
"2425","2024","00006243","1"
"1038","2024","00002986","1"
"2587","2024","00003333","1"
"2591","2024","00003719","1"
"34","2023","00000512","1"
"888","2024","00002618","1"
"1100","2024","00003177","1"
"656","2024","00002087","1"
"301","2024","00001169","1"
"260","2024","00001006","1"
"888","2024","00002618","2"
"302","2024","00001173","1"
"1407","2024","00003972","1"
"392","2024","00001438","3"
"390","2024","00001438","2"
"616","2024","00001996","1"
"3306","2024","00006907","1"
"211","2024","00000065","1"
"211","2024","00000065","2"
"3361","2024","00008245","1"
"3362","2024","00008247","1"
"1362","2024","00003869","1"
"701","2024","00002209","1"
"374","2024","00001379","1"
"374","2024","00001379","2"
"796","2024","00002410","1"
"1232","2024","00003501","1"
"1373","2024","00003895","2"
"407","2024","00001115","1"
"1003","2024","00002918","1"
"616","2024","00001996","2"
"3371","2024","00007368","2"
"74","2024","00000178","1"
"79","2024","00000218","1"
"398","2024","00001448","2"
"915","2024","00002688","4"
"249","2024","00000972","1"
"168","2024","00000744","1"
"916","2024","00002688","5"
"391","2024","00001438","1"
"1066","2024","00000629","1"
"1366","2024","00000304","1"
"990","2024","00002887","1"
"376","2024","00001392","1"
